TN No,Sl.No,Name of Road,Contractor,AS (L),CV (L),CV,EW,BT,BT Percentage,GST,Contingencies
TN-56,1,SH-154 KM 15/2-16/2,Thirumoorthy,28,23.75,2372620,449114,1923506,81.07%,18%,427380
TN-56,2,SH-154 KM 16/8-18/8,Thirumoorthy,28.5,24.15,2415297,938135,1477162,61.16%,18%,434703
TN-56,3,SH-154 KM 20/4-22/0,Thirumoorthy,28,23.75,2373058,826257,1546801,65.18%,18%,426942
TN-56,4,SH-154 KM 28/0-29/2,Thirumoorthy,28,23.75,2372752,571722,1801030,75.90%,18%,427248
TN-56,5,Seemanuthu Km 0/0-2/2 LS,Muthuraman,10,8.47,846999,316451,530548,62.64%,18%,153001
TN-56,6,V.Perumalpatti Km 1/0-2/4 LS,Raja,11.6,9.83,982757,477496,505261,51.41%,18%,177243
TN-56,7,Rajakkapatti Km 0/6-4/6,MBM,18.4,15.6,1558830,906376,652454,41.86%,18%,281170
TN-56,8,Nalluthevanpatti Km 6/8-11/4,MBM,26.5,22.45,2244500,849616,1394884,62.15%,18%,405500
TN-56,9,Elumalai Km 1/2-3/0,Raja,28,23.75,2374569,511668,1862901,78.45%,18%,425431
TN-56,10,Elumalai Km 5/0-7/0,Raja,28,23.75,2373010,631540,1741470,73.39%,18%,426990
TN-56,11,Elumalai Km 9/0-11/0,Raja,28,23.75,2373443,799584,1573859,66.31%,18%,426557
TN-56,12,Uthappanaickanur-Koppilipatti Km 2/0-3/9,Maniselvam,28,23.75,2372579,673237,1699342,71.62%,18%,427421
TN-56,13,Kokkulam-Uthappanaickanur Km 13/4-14/8,Murugesan,28,23.75,2373439,817814,1555625,65.54%,18%,426561
TN-56,14,Kokkulam-Uthappanaickanur Km 16/2-17/6,Murugesan,28,23.8,2372847,559836,1813011,76.41%,18%,427153
TN-56,15,Kokkulam-Uthappanaickanur Km 19/0-20/4,Murugesan,28,23.75,2372871,592649,1780222,75.02%,18%,427129
TN-56,16,Kokkulam-Uthappanaickanur Km 22/6-25/2,Murugesan,28,23.75,2373288,1101749,1271539,53.58%,18%,426712
TN-56,17,Kokkulam-Uthappanaickanur Km 27/2-29/2,Murugesan,28,23.75,2373208,739387,1633821,68.84%,18%,426792
TN-56,18,Vikkiramangalam-Nathampatti Km 0/0-1/2,Murugesan,28,23.75,2374718,377794,1996924,84.09%,18%,425282
TN-56,19,Vikkiramangalam-Nathampatti Km 2/4-3/6,Muthuraman,28,23.75,2375237,405932,1969305,82.91%,18%,424763
TN-56,20,Vikkiramangalam-Nathampatti Km 4/8-6/0,Muthuraman,28,23.75,2375218,410755,1964463,82.71%,18%,424782
TN-56,21,Vikkiramangalam-Nathampatti Km 7/2-8/4,Muthuraman,28,23.75,2386891,410755,1976136,82.79%,18%,413109
TN-56,22,Vikkiramangalam-Nathampatti Km 9/3-10/3,Muthuraman,28,23.75,2374997,320088,2054909,86.52%,18%,425003
TN-56,23,Kovililangulam-Thimmanatham Km 4/2-10/0,Murugesan,28,23.75,2375169,2375169,0,0.00%,18%,424831
TN-56,24,Chellampatti-Thidiyan Km 1/0-4/087,Muthuraman,18,15.26,1525932,1012046,513886,33.68%,18%,274068
TN-56,25,Nalluthevanpatti Km 0/0-3/0,MBM,29,24.6,2457641,1009601,1448040,58.92%,18%,442359
TN-56,26,SH 73A Km 12/8-16/0,MBM,28,23.75,2373202,965032,1408170,59.34%,18%,426798
TN-56,27,SH 73A Km 19/0-23/4,MBM,28,23.75,2373181,1425859,947322,39.92%,18%,426819
TN-56,28,Chithalai-Thidiyan Km 17/0-19/0,Muthuraman,12,10.2,1016555,630890,385665,37.94%,18%,183445
TN-57,1,SH-154 Km 14/4-15/2,Thirumoorthy,28,23.75,2373234,216228,2157006,90.89%,18%,426766
TN-57,2,SH-154 Km 16/2-16/8,Paramasivam,4.9,4.15,414778,170063,244715,59.00%,18%,75222
TN-57,3,SH-154 Km 18/8--20/4,Thirumoorthy,28,23.75,2371748,786136,1585612,66.85%,18%,428252
TN-57,4,SH-154 Km 29/2-30/2,Thirumoorthy,28,23.75,2373393,388666,1984727,83.62%,18%,426607
TN-57,5,Thoddappanaickanur Km 0/0-1/0,Paramasivam,4.5,3.85,381214,233433,147781,38.77%,18%,68786
